이름,소속,직위,특화분야,특화산업,경력(년)
강문정,탈피오트,대표이사,"R&D/기술사업화, 고객검증/사업개발, 빅데이터/AI",전분야,28
강성대,(주)한국인공지능검증원,책임연구원,"IP/인증, R&D/기술사업화, 빅데이터/AI","금융/보험/핀테크, 블록체인/딥테크/AI, 환경/에너지",15
강은하,새봄커뮤니케이션,대표,"투자유치(IR), 홍보마케팅","모빌리티/교통, 여행/레저, 전분야",22
강재상,(주)패스파인더넷,공동대표,"B2B영업, 고객검증/사업개발, 홍보마케팅",전분야,21
고성재,NBH캐피탈,상무,"빅데이터/AI, 세무/회계/재무, 투자유치(IR)","여행/레저, 푸드/농업, 피트니스/스포츠",23
고일원,한국자원경제연구소,소장,"IP/인증, R&D/기술사업화, 빅데이터/AI","교육, 블록체인/딥테크/AI, 환경/에너지",23
구태훈,미네타브룩벤처스(구 빅뱅벤처스 주식회사),대표,"SW
  개발(웹/앱/SaaS), 고객검증/사업개발, 빅데이터/AI, 세무/회계/재무, 투자유치(IR), 해외 진출, 홍보마케팅","광고/마케팅, 금융/보험/핀테크, 모빌리티/교통, 블록체인/딥테크/AI, 여행/레저, 인사/비즈니스/법률, 커머스, 통신/보안/데이터, 푸드/농업, 피트니스/스포츠",10
권유진,주식회사 후시파트너스,수석 매니저,"B2B영업, 고객검증/사업개발, 오픈이노베이션","부동산/건설, 헬스케어/바이오, 환경/에너지",9
권태형,미시간벤처캐피탈,상무,"오픈이노베이션, 투자유치(IR)","블록체인/딥테크/AI, 콘텐츠/예술, 푸드/농업",15
금동우,DP Real Estate Japan G.K.,법인장,"오픈이노베이션, 투자유치(IR), 해외 진출","광고/마케팅, 금융/보험/핀테크, 커머스",24
김건영,브라운컨설팅,대표,"오픈이노베이션, 투자유치(IR)","소셜미디어/커뮤니티, 콘텐츠/예술, 환경/에너지",7
김경복,(주)에이씨엔디씨,공동대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","여행/레저, 콘텐츠/예술",16
김경아,택스 큐레이터,대표 세무사,"세무/회계/재무, 유통/판로, 투자유치(IR)",전분야,8
김기영,아티피셜소사이어티,대표,빅데이터/AI,"교육, 블록체인/딥테크/AI",11
김다솔,패스트파이브,프리랜서,"CS/CX, 고객검증/사업개발","교육, 커머스, 콘텐츠/예술",11
김대현,라이프오아시스,PO,"CS/CX, 해외 진출","광고/마케팅, 소셜미디어/커뮤니티",4
김동규,신용보증기금 강남스타트업지점,부지점장,"세무/회계/재무, 오픈이노베이션, 투자유치(IR)",전분야,20
김민석,블루카본,본부장,"IP/인증, R&D/기술사업화, 고객검증/사업개발",환경/에너지,25
김병훈,K-Startup Center Tokyo,센터장,"고객검증/사업개발, 오픈이노베이션, 해외 진출","광고/마케팅, 블록체인/딥테크/AI, 헬스케어/바이오",26
김병희,코맥스벤처러스,대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","금융/보험/핀테크, 부동산/건설, 전분야",14
김성은,모드니파트너스,대표,"R&D/기술사업화, 투자유치(IR), 해외 진출","뷰티/화장품, 푸드/농업, 헬스케어/바이오",15
김성일,비즈니케이션,대표,"고객검증/사업개발, 투자유치(IR), 해외 진출",전분야,10
김성하,대덕벤처파트너스(유),파트너,"R&D/기술사업화, 투자유치(IR)","모빌리티/교통, 블록체인/딥테크/AI, 제조/하드웨어, 환경/에너지",8
김성현,위포커스 특허법률사무소,대표 변리사,"IP/인증, R&D/기술사업화, 법무/법률","모빌리티/교통, 블록체인/딥테크/AI, 통신/보안/데이터",15
김세호,INTEREST,대표,고객검증/사업개발,광고/마케팅,27
김세환,킹고투자파트너스,이사,투자유치(IR),전분야,15
김소라,솔벤처랩,대표,홍보마케팅,"뷰티/화장품, 소셜미디어/커뮤니티, 패션",20
김영민,주식회사 피트,대표,"B2B영업, UX&UI디자인/브랜딩","광고/마케팅, 콘텐츠/예술, 통신/보안/데이터",10
김예진,Node 41.5 Ventures,벤처파트너,"투자유치(IR), 해외 진출",전분야,14
김용범,법무법인 오킴스,대표,법무/법률,인사/비즈니스/법률,15
김용현,크리에이티브 파트너스,대표,"고객검증/사업개발, 세무/회계/재무","광고/마케팅, 금융/보험/핀테크, 부동산/건설",10
김유진,시애틀파트너스,대표,"UX&UI디자인/브랜딩, 오픈이노베이션, 투자유치(IR)","교육, 블록체인/딥테크/AI, 콘텐츠/예술",20
김윤경,파키라랩,대표,오픈이노베이션,"AI, 광고/마케팅, 교육, 여행/레저, 전분야, 커머스, 콘텐츠/예술",7
김윤경,UNI Platform,대표/Founder,"B2B영업, 오픈이노베이션, 해외 진출","금융/보험/핀테크, 뷰티/화장품, 소셜미디어/커뮤니티",20
김윤미,주식회사 와이케이벤처스,대표,"R&D/기술사업화, 고객검증/사업개발, 투자유치(IR)","뷰티/화장품, 전분야, 헬스케어/바이오",13
김윤석,놀유니버스,팀장,HR/노무/채용,인사/비즈니스/법률,12.5
김윤재,채널코퍼레이션,Sales Director,"B2B영업, CS/CX",전분야,13
김일태,라이트하우스컴바인인베스트,상무,"R&D/기술사업화, 고객검증/사업개발, 투자유치(IR)","ICT, 우주항공, 통신/보안/데이터",18
김정수,린스프린트,대표,"고객검증/사업개발, 투자유치(IR)",전분야,9
김정윤,에픽플랫폼파트너스,이사,"UX&UI디자인/브랜딩, 고객검증/사업개발, 투자유치(IR)","금융/보험/핀테크, 통신/보안/데이터",22
김종헌,프롤로그벤처스,대표,"세무/회계/재무, 투자유치(IR), 해외 진출","제조/하드웨어, 환경/에너지",15
김철훈,주식회사 부명,대표이사,"HW 개발(제조/목업), R&D/기술사업화, 고객검증/사업개발","모빌리티/교통, 제조/하드웨어, 환경/에너지",34
김태현,지니파이 주식회사,대표,"고객검증/사업개발, 빅데이터/AI","광고/마케팅, 교육, 블록체인/딥테크/AI, 소셜미디어/커뮤니티, 피트니스/스포츠, 헬스케어/바이오",20
김태현,와우파트너스,대표,"오픈이노베이션, 투자유치(IR), 홍보마케팅","블록체인/딥테크/AI, 헬스케어/바이오, 환경/에너지",26
김하성,(주)라피네르,이사,"HW 개발(제조/목업), 홍보마케팅","제조/하드웨어, 커머스",10
김한솔,인텔렉추얼디스커버리(주),팀장,투자유치(IR),블록체인/딥테크/AI,10
김현준,Relate,부대표,"B2B영업, SW
  개발(웹/앱/SaaS), 홍보마케팅",,14
김현회,한양대기술지주,상무,"HR/노무/채용, R&D/기술사업화, 투자유치(IR)",전분야,5
김형진,명지대학교,교수,빅데이터/AI,전분야,15
김희향,노무법인태주,대표 공인노무사,HR/노무/채용,인사/비즈니스/법률,10
남정욱,노동법률을지 ,노무사,HR/노무/채용,인사/비즈니스/법률,12
노경욱,아이엠투자파트너스,상무,투자유치(IR),"금융/보험/핀테크, 모빌리티/교통, 물류, 뷰티/화장품, 여행/레저, 제조/하드웨어, 커머스, 통신/보안/데이터, 패션, 푸드/농업, 환경/에너지",15
문희,한국투자액셀러레이터,팀장,"IP/인증, 투자유치(IR)","제조/하드웨어, 헬스케어/바이오, 환경/에너지",8
박덕규,KB인베스트먼트,본부장,투자유치(IR),금융/보험/핀테크,11
박상철,Woo&Partners,이사,투자유치(IR),"뷰티/화장품, 여행/레저, 패션",16
박성완,주식회사 맥브레인즈,부사장,"HR/노무/채용, 고객검증/사업개발, 홍보마케팅","광고/마케팅, 물류, 뷰티/화장품, 유아/출산, 커머스",20
박세호,카이스트홀딩스,팀장,"고객검증/사업개발, 투자유치(IR)","게임, 제조/하드웨어",14
박영욱,주식회사 키햐,대표,"R&D/기술사업화, 투자유치(IR), 홍보마케팅","광고/마케팅, 모빌리티/교통, 커머스",20
박원규,콜라이더,대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","금융/보험/핀테크, 통신/보안/데이터, 푸드/농업",23
박유진,마크앤컴퍼니,이사,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","모빌리티/교통, 여행/레저, 통신/보안/데이터",16
박재우,보임코퍼레이션,투자전략팀장,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","블록체인/딥테크/AI, 전분야, 환경/에너지",9
박종한,후시파트너스,상무,"고객검증/사업개발, 투자유치(IR), 홍보마케팅","광고/마케팅, 콘텐츠/예술, 환경/에너지",25
박준형,토러스파트너스,상무,"SW
  개발(웹/앱/SaaS), 빅데이터/AI, 투자유치(IR)","블록체인/딥테크/AI, 콘텐츠/예술, 헬스케어/바이오",19
박지형,LB인베스트먼트,수석,"세무/회계/재무, 투자유치(IR), 홍보마케팅","게임, 광고/마케팅, 뷰티/화장품, 블록체인/딥테크/AI, 커머스, 콘텐츠/예술, 패션",6
박진무,마크앤컴퍼니,매니저,"고객검증/사업개발, 투자유치(IR)",전분야,12
박현국,신한벤처투자,이사,"빅데이터/AI, 투자유치(IR)","모빌리티/교통, 블록체인/딥테크/AI, 제조/하드웨어",13
박호준,우주문방구 주식회사,대표,고객검증/사업개발,콘텐츠/예술,5
배민욱,CJ ENM 성장추진팀,팀장,"유통/판로, 투자유치(IR)","뷰티/화장품, 커머스, 패션, 피트니스/스포츠",15
배상철,플럭스벤처스,대표,투자유치(IR),"금융/보험/핀테크, 블록체인/딥테크/AI",15
배재한,롯데벤처스,팀장,"R&D/기술사업화, 고객검증/사업개발, 투자유치(IR)","제조/하드웨어, 헬스케어/바이오, 환경/에너지",8
백상헌,인터베스트(주),상무,"고객검증/사업개발, 투자유치(IR), 해외 진출","금융/보험/핀테크, 동남아시아, 커머스",14
백상훈,메더스파트너스,대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","뷰티/화장품, 인사/비즈니스/법률, 콘텐츠/예술",23
설봉환,한국공학대학교,겸임교수,"HW 개발(제조/목업), R&D/기술사업화, SW
  개발(웹/앱/SaaS), 고객검증/사업개발, 빅데이터/AI","모빌리티/교통, 블록체인/딥테크/AI, 제조/하드웨어, 통신/보안/데이터, 환경/에너지",30
소명섭,쿼드마이너,일본법인장,"HR/노무/채용, 유통/판로, 해외 진출","뷰티/화장품, 제조/하드웨어, 통신/보안/데이터",19
손도현,(주)아티스트바이오,대표,"R&D/기술사업화, 오픈이노베이션, 투자유치(IR)",헬스케어/바이오,10
송민,오노마에이아이,대표,"SW
  개발(웹/앱/SaaS), 빅데이터/AI","블록체인/딥테크/AI, 콘텐츠/예술",20
송정아,바이널엑스,수석,UX&UI디자인/브랜딩,커머스,22
송중석,포비콘,대표,"R&D/기술사업화, 빅데이터/AI",부동산/건설,17
신기영,디자이노블,대표,"R&D/기술사업화, 빅데이터/AI","블록체인/딥테크/AI, 콘텐츠/예술, 패션",11
신동명,마크앤컴퍼니,이사,"SW
  개발(웹/앱/SaaS), UX&UI디자인/브랜딩, 고객검증/사업개발",전분야,14
신동민,(주)로랩스,Advisor,"B2B영업, HR/노무/채용, 투자유치(IR)","금융/보험/핀테크, 인사/비즈니스/법률",19
신범교,하이트진로,심사역,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","뷰티/화장품, 여행/레저, 푸드/농업",6
신병휘,플랫폼웍스,대표,"고객검증/사업개발, 빅데이터/AI, 오픈이노베이션","광고/마케팅, 블록체인/딥테크/AI, 소셜미디어/커뮤니티",26
신아영,한국신용데이터,팀장,"B2B영업, CS/CX, 고객검증/사업개발",금융/보험/핀테크,12
신연선,스프라웃업,대표,"UX&UI디자인/브랜딩, 고객검증/사업개발, 유통/판로, 투자유치(IR), 홍보마케팅","교육, 소셜미디어/커뮤니티, 커머스, 콘텐츠/예술, 홈리빙/펫",20
신은혜,500 글로벌 > 퇴사 (26.02),수석심사역 ,"고객검증/사업개발, 투자유치(IR), 해외 진출","블록체인/딥테크/AI, 통신/보안/데이터, 환경/에너지",10
신임철,아톤모빌리티,대표이사,"B2B영업, HR/노무/채용, 고객검증/사업개발","광고/마케팅, 교육, 금융/보험/핀테크, 모빌리티/교통, 인사/비즈니스/법률, 환경/에너지",25
신준영,쓰리아이솔루션 주식회사,대표,"HR/노무/채용, 해외 진출","제조/하드웨어, 환경/에너지",19
신진현,센틱스벤처스,이사,"HR/노무/채용, 고객검증/사업개발, 세무/회계/재무","광고/마케팅, 교육, 소셜미디어/커뮤니티, 제조/하드웨어, 패션, 피트니스/스포츠",5
심영석,metaflyer,이사,홍보마케팅,전분야,21
안성진,삼영회계법인,이사 공인회계사,세무/회계/재무,전분야,16
안수영,세의영컨설팅,대표,"R&D/기술사업화, 유통/판로, 홍보마케팅","광고/마케팅, 뷰티/화장품, 커머스",22
안지윤,주식회사 웨어컴퍼니,이사,"HR/노무/채용, 세무/회계/재무, 홍보마케팅","교육, 블록체인/딥테크/AI, 헬스케어/바이오",13
안한경,스펙터,팀장,CS/CX,"여행/레저, 커머스, 통신/보안/데이터",11
양수연,레드포인트,대표,"투자유치(IR), 홍보마케팅",전분야,15
양진호,씨브이쓰리,대표,"고객검증/사업개발, 빅데이터/AI, 유통/판로","광고/마케팅, 커머스",11
어재혁,메이크스페이스(주),대표,고객검증/사업개발,전분야,25
여선학,더봄노무법인,부대표 노무사,HR/노무/채용,인사/비즈니스/법률,10
오남열,씽크어바웃,대표,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR), 홍보마케팅","광고/마케팅, 금융/보험/핀테크, 커머스, 콘텐츠/예술, 패션, 푸드/농업",25
오상민,로간벤처스유한회사,대표,"고객검증/사업개발, 세무/회계/재무, 투자유치(IR)","여행/레저, 콘텐츠/예술, 피트니스/스포츠",26
오상엽,토쿄키라보시파이낸셜그룹,부장,"고객검증/사업개발, 해외 진출, 홍보마케팅",전분야,18
오승재,신한벤처투자,팀장 · 차장,"오픈이노베이션, 투자유치(IR), 해외 진출","금융/보험/핀테크, 제조/하드웨어, 환경/에너지",10
오영록,FAO Partners,파트너,"유통/판로, 투자유치(IR), 해외 진출","뷰티/화장품, 콘텐츠/예술, 패션",20
오준석,삼도회계법인,본부장,세무/회계/재무,뷰티/화장품,19
오준영,주식회사 글루가,본부장,해외 진출,"뷰티/화장품, 커머스",10
오준우,인탑스,팀장,"HW 개발(제조/목업), UX&UI디자인/브랜딩, 고객검증/사업개발, 오픈이노베이션",제조/하드웨어,25
원수섭,LEMI,대표,"HR/노무/채용, 고객검증/사업개발, 투자유치(IR)",전분야,20
위대성,(주)케이뷰티월드와이드,대표,"고객검증/사업개발, 해외 진출",뷰티/화장품,8
유웅선,길과담 특허법률사무소,대표 변리사,"R&D/기술사업화, 법무/법률, 빅데이터/AI","블록체인/딥테크/AI, 인사/비즈니스/법률, 푸드/농업",16
유재연,옐로우독,파트너,"빅데이터/AI, 투자유치(IR)","블록체인/딥테크/AI, 소셜미디어/커뮤니티, 콘텐츠/예술",10
윤두식,이로운앤컴퍼니,대표,"B2B영업, R&D/기술사업화, 빅데이터/AI",통신/보안/데이터,25
윤세찬,긱스퍼트(주),대표,"R&D/기술사업화, 빅데이터/AI, 오픈이노베이션","블록체인/딥테크/AI, 인사/비즈니스/법률",13
윤영준,코벤트 캐피탈 파트너스,대표,투자유치(IR),"블록체인/딥테크/AI, 전분야, 통신/보안/데이터",15
윤재훈,에픽비긴즈,대표,"고객검증/사업개발, 홍보마케팅","게임, 광고/마케팅, 콘텐츠/예술",23
윤종영,타이드인스티튜트,대표,"고객검증/사업개발, 빅데이터/AI, 해외 진출",전분야,20
윤한득,CJ대한통운,책임,"UX&UI디자인/브랜딩, 오픈이노베이션, 홍보마케팅","광고/마케팅, 물류, 환경/에너지",13
이강훈,하나벤처스,수석심사역,투자유치(IR),제조/하드웨어,10
이길상,이퀄썸스퀘어,대표,HR/노무/채용,전분야,22
이길훈,유티씨인베스트먼트㈜,부장,투자유치(IR),제조/하드웨어,12
이동명,최앤리법률사무소,부대표 변호사,법무/법률,인사/비즈니스/법률,7
이명훈,이앤벤처파트너스,상무,"세무/회계/재무, 투자유치(IR)","모빌리티/교통, 제조/하드웨어",17
이선호,벤처박스,대표,"R&D/기술사업화, 오픈이노베이션, 투자유치(IR)","뷰티/화장품, 제조/하드웨어, 콘텐츠/예술",26
이연경,(주)에이씨엔디씨,이사,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)","블록체인/딥테크/AI, 여행/레저, 콘텐츠/예술",14
이은영,아샤그룹,대표,"고객검증/사업개발, 투자유치(IR), 홍보마케팅",광고/마케팅,23
이정수,한국건설생활환경시험연구원,수석연구원,"IP/인증, R&D/기술사업화, 고객검증/사업개발","모빌리티/교통, 헬스케어/바이오, 환경/에너지",19
이정훈,한국투자액셀러레이터,실장,고객검증/사업개발,전분야,8
이종현,탈피오트,책임연구원,"B2B영업, R&D/기술사업화, SW
  개발(웹/앱/SaaS), UX&UI디자인/브랜딩, 고객검증/사업개발, 빅데이터/AI, 오픈이노베이션, 홍보마케팅",전분야,14
이주현,SDT Inc,부대표,"B2B영업, HR/노무/채용, SW
  개발(웹/앱/SaaS), 고객검증/사업개발, 빅데이터/AI, 투자유치(IR)",전분야,20
이중대,메시지하우스,대표(Managing Director),홍보마케팅,"광고/마케팅, 소셜미디어/커뮤니티, 콘텐츠/예술",25
이지숙,한국인공지능검증원,본부장,"R&D/기술사업화, 고객검증/사업개발, 빅데이터/AI","광고/마케팅, 교육, 헬스케어/바이오",11
이창호,(주)샘파트너스,대표,UX&UI디자인/브랜딩,전분야,25
이충욱,티비티파트너스,이사,"법무/법률, 세무/회계/재무","광고/마케팅, 패션",22
이학종,(주)소풍벤처스,파트너,"R&D/기술사업화, 고객검증/사업개발, 투자유치(IR)","부동산/건설, 푸드/농업, 환경/에너지",8
이한온,한국콜마,책임연구원,R&D/기술사업화,"뷰티/화장품, 헬스케어/바이오",4
이형석,브랜드성장연구소,대표,"고객검증/사업개발, 투자유치(IR), 홍보마케팅","광고/마케팅, 뷰티/화장품, 푸드/농업, 피트니스/스포츠, 헬스케어/바이오",27
이혜린,안드레이아,부대표,고객검증/사업개발,"교육, 유아/출산, 헬스케어/바이오",13
이호재,그라운드업벤처스,대표,"B2B영업, 고객검증/사업개발, 투자유치(IR)",전분야,19
이홍주,FAO Partners,대표,"투자유치(IR), 해외 진출","전분야, 콘텐츠/예술, 패션",10
임대혁,빅무브벤처스,미래전략실장,고객검증/사업개발,헬스케어/바이오,17
임덕만,가디언즈랩 주식회사,대표,HR/노무/채용,전분야,20
임훈민,그라운드업벤처스,대표,"고객검증/사업개발, 투자유치(IR)","게임, 교육, 커머스, 콘텐츠/예술",17
장민석,어나더브레인,대표,"B2B영업, 고객검증/사업개발, 투자유치(IR)","헬스케어/바이오, 환경/에너지",10
장상길,한양대학교,팀장,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)",전분야,13
장은실,뉴패러다임인베스트먼트,수석팀장,"고객검증/사업개발, 투자유치(IR), 홍보마케팅","여행/레저, 전분야, 커머스, 피트니스/스포츠",18
장현욱,특허법인 올림,대표 변리사,"IP/인증, 법무/법률","뷰티/화장품, 블록체인/딥테크/AI, 커머스",15
장혜승,마크앤컴퍼니,이사,"고객검증/사업개발, 투자유치(IR)","교육, 콘텐츠/예술",14
정서우,마크앤컴퍼니,팀장,"고객검증/사업개발, 투자유치(IR)","콘텐츠/예술, 환경/에너지",7
정세윤,FAO Partners,파트너,"고객검증/사업개발, 투자유치(IR), 해외 진출","뷰티/화장품, 콘텐츠/예술, 푸드/농업",12
정우상,나눔국제특허법률사무소,변리사,"IP/인증, R&D/기술사업화, 빅데이터/AI","블록체인/딥테크/AI, 제조/하드웨어",18
정윤훈,컨텍스트인사이트닷컴퍼니,대표,"고객검증/사업개발, 유통/판로, 투자유치(IR), 홍보마케팅",커머스,13
정현정,마크앤컴퍼니,팀장,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)",전분야,9
정호석,법무법인 세움,대표변호사,법무/법률,전분야,19
조성은,한국표준협회,팀장,"고객검증/사업개발, 오픈이노베이션, 투자유치(IR)",환경/에너지,16
조승현,이음특허법률사무소,대표변리사,"IP/인증, R&D/기술사업화, 법무/법률","뷰티/화장품, 블록체인/딥테크/AI, 제조/하드웨어, 커머스, 통신/보안/데이터",9
조욱제,특허법인MAPS,대표변리사,"IP/인증, 투자유치(IR)",전분야,21
조인영,전) 마크앤컴퍼니,팀장,HR/노무/채용,인사/비즈니스/법률,16
조현명,마크앤컴퍼니,이사,고객검증/사업개발,전분야,17
좌희정,고려대학교 컴퓨터학과 공학박사,연구원,빅데이터/AI,"교육, 블록체인/딥테크/AI, 통신/보안/데이터",5
진형석,한국무역협회,차장,"B2B영업, 고객검증/사업개발, 법무/법률, 투자유치(IR), 해외 진출, 홍보마케팅",전분야,17
채승호,넥스트랜스,상무이사,"고객검증/사업개발, 투자유치(IR)",전분야,9
천세희,(주)더자람컴퍼니,대표,"CS/CX, 고객검증/사업개발, 투자유치(IR)","교육, 소셜미디어/커뮤니티, 콘텐츠/예술",27
최광종,(주)찬란한컴퍼니,대표,"고객검증/사업개발, 유통/판로, 홍보마케팅","광고/마케팅, 뷰티/화장품, 소셜미디어/커뮤니티, 유아/출산, 커머스, 콘텐츠/예술, 패션, 푸드/농업, 홈리빙/펫",14
최윤진,(주)타운즈,대표,고객검증/사업개발,모빌리티/교통,6
최철민,최앤리법률사무소/등기맨,대표변호사,법무/법률,인사/비즈니스/법률,9
하이수,쉬벤처스,대표,"고객검증/사업개발, 투자유치(IR), 홍보마케팅","유아/출산, 피트니스/스포츠, 헬스케어/바이오",21
한동환,Adobe,상무,"고객검증/사업개발, 오픈이노베이션, 해외 진출","교육, 콘텐츠/예술, 통신/보안/데이터",30
한마리아,크립톤 투자팀,투자팀장,"고객검증/사업개발, 투자유치(IR), 해외 진출","게임, 교육, 뷰티/화장품, 소셜미디어/커뮤니티, 유아/출산, 인사/비즈니스/법률, 커머스, 콘텐츠/예술, 푸드/농업",7
한보미나,주식회사 띵쇼,대표,투자유치(IR),전분야,13
한정현,인사이더박스,대표,"고객검증/사업개발, 투자유치(IR)","교육, 헬스케어/바이오",5
허성욱,라이오니스(LIONICE),대표,"B2B영업, 유통/판로, 해외 진출",B2B SaaS,23
허정란,와이앤아처 주식회사,책임심사역,"고객검증/사업개발, 투자유치(IR)","게임, 교육, 소셜미디어/커뮤니티, 콘텐츠/예술",6
홍경표,마크앤컴퍼니,대표,"고객검증/사업개발, 투자유치(IR)",전분야,20
홍순엽,모비딕벤처스,부장,"R&D/기술사업화, 오픈이노베이션, 투자유치(IR)","블록체인/딥테크/AI, 전분야, 제조/하드웨어",14
황성현,가천대학교,교수,HR/노무/채용,인사/비즈니스/법률,32
황윤익,브이유에스,대표,"B2B영업, 고객검증/사업개발","모빌리티/교통, 환경/에너지",10
황익훈,크리에이티브 파트너스,TAX3 / 팀장,세무/회계/재무,"뷰티/화장품, 소셜미디어/커뮤니티",6
황희철,라그랑주벤처스,대표,"HW 개발(제조/목업), R&D/기술사업화, 투자유치(IR)","모빌리티/교통, 제조/하드웨어, 통신/보안/데이터",22